"Venue","City","Type"
"Phoenix Pallasio Mall, Gomti Nagar EXT 4Kension","Lucknow","Dual Xenon 2K 5.1"
"Rajhans Precia, Rundh","Surat","Single Laser XT 4K 5.1"
"Palladium Mall, Thatlej","Ahmedabad","Single Laser XT 4K 5.1"
"Priya, Vasant Vihar","New Delhi","Single Laser XT 4K 12.1"
"Paras, Nehru Place","South Delhi","Single Laser XT 4K 5.1"
"Vishal, Rajouri Garden","New Delhi","Single Laser XT 4K 5.1"
"Mall of India, Sector 18","Noida","Single Laser XT 4K 5.1"
"Select Citywalk Mall, Saket","South Delhi","Single Commercial Laser 4K 12.1"
"Bhutani Citycenter 32, Sector 32","Noida","Single Dual Xenon 2K 5.1"
"Ambience Mall, Sector 24","Gurugram","Dual Xenon 2K 5.1"
"Vegas Mall, Dwarka","South Delhi","Dual Xenon 2K 5.1"
"Palladium Mall, Lower Parel, South Mumbai","Mumbai","Single Commercial Laser 4K 12.1"
"Miraj Cinemas, Bhakti Park, Wadala","Mumbai","Single Laser XT 4K 5.1"
"Jio World Plaza, Bandra Kurla Complex, Bandra","Mumbai","Single Laser XT 4K 5.1"
"Gujarat Science City, Thatlej", "Ahmedabad", "Dual Rotor 15/70 GT 6.1"
"Palazzo Nexus Mall","Chennai","Dual Xenon 2K 5.1"
"LULU Mall","Thiruvananthpuram","Dual Xenon 2K 5.1"
"Broadway Megaplex","Coimbatore","Dual Xenon 2K 5.1"
"Luxe Phoenix Mall","Chennai","Dual Xenon 2K 5.1"
"Vega City","Bengaluru","Dual Xenon 2K 5.1"
"VR","Bengaluru","Dual Xenon 2K 5.1"
"Nexus, Koramangala","Bengaluru","Dual Xenon 2K 5.1"
"Inorbit Mall","Mumbai","Dual Xenon 2K 5.1"
"Cinepolis, Shantiniketan","Bengaluru","Dual Xenon 2K 5.1"
"Cinepolis, Westend Mall","Pune","Dual Xenon 2K 5.1"
"RMZ Galleria","Bengaluru","Dual Xenon 2K 5.1"
"R-City Mall","Bengaluru","Dual Xenon 2K 5.1"
"Mantri Mall","Bengaluru","Dual Xenon 2K 5.1"
"Centre Square","Kochi","Dual Xenon 2K 5.1"
"Phoenix Mall of Millenium","Pune","Dual Xenon 2K 5.1"
"South City Mall","Kolkata","Dual Xenon 2K 5.1"